Timestamp,Thumb Flex,Pointer Flex,Middle Flex,Ring Flex,Pinky Flex,Thumb Acc. X,Thumb Acc. Y,Thumb Acc. Z,Thumb Gyro X,Thumb Gyro Y,Thumb Gyro Z,Pointer Acc. X,Pointer Acc. Y,Pointer Acc. Z,Pointer Gyro X,Pointer Gyro Y,Pointer Gyro Z,Middle Acc. X,Middle Acc. Y,Middle Acc. Z,Middle Gyro X,Middle Gyro Y,Middle Gyro Z,Ring Acc. X,Ring Acc. Y,Ring Acc. Z,Ring Gyro X,Ring Gyro Y,Ring Gyro Z,Pinky Acc. X,Pinky Acc. Y,Pinky Acc. Z,Pinky Gyro X,Pinky Gyro Y,Pinky Gyro Z,Wrist Gyro X,Wrist Gyro Y,Wrist Gyro Z,Wrist Acc. X,Wrist Acc. Y,Wrist Acc. Z,Hand
0.061,255,255,255,255,255,-7.89,0.84,6.04,-0.01,0.01,-0.00,-8.84,-2.92,3.60,-0.03,0.00,-0.03,-8.18,-2.20,5.39,0.01,0.01,-0.02,-5.34,-5.32,6.42,-0.00,-0.00,-0.01,-2.18,-3.51,8.90,-0.01,-0.01,0.00,-0.52,0.08,0.86,0.31,-0.12,-0.12,L
0.108,255,255,255,255,255,-7.87,0.81,6.01,-0.01,0.01,-0.01,-8.85,-2.96,3.59,-0.03,0.00,-0.02,-8.17,-2.16,5.45,0.01,0.02,-0.01,-5.36,-5.30,6.44,0.00,-0.00,0.01,-2.11,-3.51,8.94,-0.01,-0.01,0.01,-0.52,0.08,0.86,-0.12,0.06,-0.12,L
0.16,255,255,255,255,255,-7.82,0.84,6.05,-0.01,0.01,0.00,-8.88,-2.91,3.53,-0.03,-0.00,-0.02,-8.22,-2.15,5.41,0.01,0.02,-0.00,-5.37,-5.25,6.45,0.00,-0.01,0.01,-2.12,-3.45,8.91,-0.02,-0.01,0.00,-0.52,0.08,0.86,-0.18,-0.06,0.06,L
0.211,255,255,255,255,255,-7.88,0.77,6.04,-0.01,0.00,-0.00,-8.83,-2.93,3.57,-0.03,-0.01,-0.02,-8.25,-2.23,5.42,0.01,0.02,-0.00,-5.40,-5.27,6.48,0.00,-0.00,0.00,-2.15,-3.48,8.96,-0.01,-0.01,0.00,-0.52,0.08,0.86,-0.06,0.00,-0.06,L
0.263,255,255,255,255,255,-7.93,0.79,6.04,-0.00,0.01,0.00,-8.80,-2.89,3.57,-0.03,-0.00,-0.02,-8.22,-2.19,5.46,0.01,0.02,-0.01,-5.32,-5.37,6.45,0.00,0.00,0.00,-2.13,-3.52,8.97,-0.02,-0.01,0.00,-0.52,0.08,0.86,0.00,-0.06,0.24,L
0.311,255,255,255,255,255,-7.90,0.80,6.06,-0.00,0.01,-0.00,-8.85,-2.86,3.62,-0.03,0.00,-0.02,-8.17,-2.14,5.38,0.01,0.02,-0.01,-5.39,-5.26,6.41,0.01,0.00,0.01,-2.10,-3.47,8.87,-0.00,-0.01,0.01,-0.52,0.09,0.86,0.00,0.06,0.12,L
0.363,255,255,255,0,255,-7.88,0.79,5.97,-0.01,0.01,-0.01,-8.83,-2.94,3.54,-0.03,0.00,-0.03,-8.15,-2.18,5.37,0.01,0.02,-0.01,-5.42,-5.36,6.47,0.01,-0.00,0.01,-2.08,-3.44,8.91,-0.01,-0.01,0.01,-0.52,0.08,0.86,-0.18,0.18,0.06,L
0.414,255,255,255,0,255,-7.88,0.81,6.02,-0.00,0.01,-0.00,-8.91,-2.90,3.61,-0.03,-0.00,-0.02,-8.14,-2.15,5.46,0.01,0.02,-0.01,-5.43,-5.34,6.44,0.01,-0.00,0.01,-2.18,-3.47,8.92,-0.02,-0.01,0.00,-0.52,0.08,0.86,0.00,0.06,-0.06,L
0.466,255,255,255,255,255,-7.85,0.87,6.04,-0.01,0.01,-0.00,-8.84,-2.92,3.60,-0.03,0.00,-0.02,-8.19,-2.16,5.37,0.00,0.01,-0.01,-5.41,-5.34,6.42,0.00,-0.00,0.01,-2.11,-3.51,8.88,-0.01,-0.01,0.00,-0.52,0.08,0.86,-0.24,0.06,0.00,L
0.519,255,255,255,255,255,-7.91,0.82,6.08,0.00,0.01,-0.00,-8.86,-2.95,3.55,-0.03,0.00,-0.02,-8.19,-2.16,5.41,0.01,0.02,-0.01,-5.40,-5.28,6.48,0.00,0.00,0.00,-2.07,-3.50,8.96,-0.02,-0.00,0.00,-0.52,0.08,0.86,-0.12,0.06,-0.12,L
0.579,255,255,255,255,255,-7.90,0.82,6.05,0.00,0.02,-0.00,-8.86,-2.87,3.62,-0.03,0.00,-0.02,-8.21,-2.19,5.43,0.01,0.02,-0.01,-5.31,-5.29,6.48,0.00,0.00,-0.01,-2.09,-3.41,8.97,-0.01,-0.00,0.00,-0.52,0.09,0.86,0.12,0.06,-0.12,L
0.621,127,255,255,255,255,-7.83,0.82,6.05,-0.00,0.01,-0.00,-8.85,-2.87,3.64,-0.03,0.00,-0.02,-8.18,-2.12,5.46,0.01,0.02,-0.01,-5.35,-5.28,6.43,0.01,-0.01,-0.00,-2.14,-3.51,8.95,-0.01,-0.01,0.00,-0.52,0.09,0.86,-0.06,-0.06,0.00,L
0.669,255,255,255,0,255,-7.81,0.82,6.07,-0.01,0.01,0.00,-8.81,-2.89,3.60,-0.03,0.00,-0.02,-8.20,-2.22,5.43,0.01,0.02,-0.01,-5.33,-5.31,6.43,0.01,0.00,0.01,-2.15,-3.53,8.94,-0.01,-0.01,0.01,-0.52,0.08,0.86,-0.12,0.12,0.12,L
