Timestamp,Thumb Flex,Pointer Flex,Middle Flex,Ring Flex,Pinky Flex,Thumb Acc. X,Thumb Acc. Y,Thumb Acc. Z,Thumb Gyro X,Thumb Gyro Y,Thumb Gyro Z,Pointer Acc. X,Pointer Acc. Y,Pointer Acc. Z,Pointer Gyro X,Pointer Gyro Y,Pointer Gyro Z,Middle Acc. X,Middle Acc. Y,Middle Acc. Z,Middle Gyro X,Middle Gyro Y,Middle Gyro Z,Ring Acc. X,Ring Acc. Y,Ring Acc. Z,Ring Gyro X,Ring Gyro Y,Ring Gyro Z,Pinky Acc. X,Pinky Acc. Y,Pinky Acc. Z,Pinky Gyro X,Pinky Gyro Y,Pinky Gyro Z,Wrist Gyro X,Wrist Gyro Y,Wrist Gyro Z,Wrist Acc. X,Wrist Acc. Y,Wrist Acc. Z,Hand
0.058,204,61,30,184,131,-3.57,-1.60,9.17,0.01,-0.05,0.06,-5.40,3.99,7.08,-0.03,0.05,0.07,-5.37,6.46,4.98,-0.04,0.05,0.04,-3.66,6.36,6.44,-0.01,0.04,0.03,-3.33,7.55,5.42,0.01,0.03,-0.01,0.63,0.17,0.78,1.53,1.59,0.67,R
0.104,204,61,31,183,130,-3.53,-1.44,9.06,0.02,-0.01,-0.04,-5.35,4.08,6.97,-0.01,0.02,-0.06,-5.24,6.72,4.76,-0.04,-0.03,-0.05,-3.47,6.60,6.11,-0.04,-0.02,-0.04,-3.05,7.56,5.07,-0.01,0.01,-0.01,0.60,0.18,0.78,-0.37,-2.20,-0.92,R
0.158,205,61,31,183,131,-3.65,-1.64,9.47,0.05,-0.12,0.04,-5.58,4.00,7.15,0.01,0.02,0.04,-5.44,6.61,4.92,-0.01,0.02,0.02,-3.63,6.60,6.50,0.02,0.02,0.01,-3.33,7.81,5.62,0.02,0.03,-0.01,0.62,0.17,0.78,0.61,2.01,0.18,R
0.208,203,63,30,182,129,-3.18,-1.51,8.93,0.01,0.01,-0.05,-5.13,3.75,6.88,-0.01,0.05,-0.06,-5.01,6.27,4.69,-0.04,0.01,-0.06,-3.33,6.23,6.01,-0.01,0.02,-0.06,-3.03,7.27,5.28,0.00,0.03,-0.06,0.59,0.18,0.76,0.67,-2.08,-1.77,R
0.26,204,63,30,182,130,-3.85,-1.32,9.73,-0.01,0.01,0.07,-5.54,4.21,7.35,-0.05,-0.01,0.06,-5.33,6.67,4.80,-0.03,0.04,0.03,-3.64,6.48,6.25,0.02,0.06,0.01,-3.33,7.57,5.28,0.05,0.07,-0.02,0.62,0.17,0.78,4.03,3.05,-0.12,R
0.312,203,62,30,181,128,-3.56,-1.32,9.33,0.12,-0.16,0.05,-5.72,3.92,7.47,-0.13,-0.06,0.08,-5.39,6.74,4.68,-0.04,-0.04,-0.02,-3.69,6.72,6.41,-0.03,0.01,-0.03,-3.41,7.80,5.53,-0.02,0.01,-0.01,0.64,0.17,0.80,-0.18,0.37,0.31,R
0.364,203,65,31,184,131,-3.90,-1.48,9.95,0.03,-0.20,0.11,-5.64,4.79,7.58,-0.15,-0.15,0.08,-5.46,6.68,5.13,-0.03,-0.01,0.07,-3.56,6.58,6.28,0.03,0.04,0.08,-3.39,7.44,5.43,0.08,0.07,0.06,0.59,0.18,0.78,2.01,4.52,1.71,R
0.416,197,61,31,183,128,-3.23,-1.13,9.37,0.22,-0.34,0.16,-4.87,4.26,7.12,-0.14,-0.66,-0.01,-5.33,6.57,4.93,-0.06,-0.07,-0.01,-3.56,6.53,6.26,-0.04,-0.03,0.00,-3.30,7.47,5.34,-0.04,-0.02,0.01,0.61,0.17,0.78,-2.50,2.62,1.71,R
0.467,194,64,30,182,130,-3.94,-0.61,10.64,0.20,-0.43,0.10,-5.26,3.64,8.38,-0.13,-1.03,-0.05,-5.25,6.73,5.01,-0.10,-0.31,0.00,-3.33,6.43,5.96,-0.05,-0.08,-0.01,-2.87,7.50,4.58,0.02,-0.03,0.05,0.60,0.17,0.77,-0.43,0.79,0.24,R
0.514,194,67,31,183,131,-2.11,-1.22,8.58,0.32,-1.81,0.65,-4.01,4.00,7.97,-0.11,-1.03,0.22,-4.90,6.38,5.16,0.02,-0.38,0.05,-3.56,6.62,6.45,0.01,-0.06,-0.01,-3.42,7.77,5.80,0.04,-0.01,-0.01,0.66,0.18,0.78,-2.75,8.91,1.04,R
