Timestamp,Thumb Flex,Pointer Flex,Middle Flex,Ring Flex,Pinky Flex,Thumb Acc. X,Thumb Acc. Y,Thumb Acc. Z,Thumb Gyro X,Thumb Gyro Y,Thumb Gyro Z,Pointer Acc. X,Pointer Acc. Y,Pointer Acc. Z,Pointer Gyro X,Pointer Gyro Y,Pointer Gyro Z,Middle Acc. X,Middle Acc. Y,Middle Acc. Z,Middle Gyro X,Middle Gyro Y,Middle Gyro Z,Ring Acc. X,Ring Acc. Y,Ring Acc. Z,Ring Gyro X,Ring Gyro Y,Ring Gyro Z,Pinky Acc. X,Pinky Acc. Y,Pinky Acc. Z,Pinky Gyro X,Pinky Gyro Y,Pinky Gyro Z,Wrist Gyro X,Wrist Gyro Y,Wrist Gyro Z,Wrist Acc. X,Wrist Acc. Y,Wrist Acc. Z,Hand
0.051,255,0,255,255,255,-6.34,7.19,2.73,0.21,0.08,0.04,-9.73,2.63,1.05,0.09,0.04,-0.10,-9.98,0.99,-1.17,0.16,0.10,0.02,-9.85,1.77,2.93,-0.09,-0.06,0.00,-9.71,0.70,2.90,-0.16,-0.09,-0.01,-0.54,0.63,0.55,4.27,0.85,2.87,L
0.101,255,0,255,255,255,-6.92,6.95,2.71,-0.30,-0.13,0.05,-9.49,2.25,1.46,-0.02,0.06,0.29,-10.02,0.60,-0.36,0.12,-0.11,0.41,-9.50,0.99,2.53,0.04,-0.24,0.30,-9.47,0.41,2.86,0.13,-0.36,0.24,-0.56,0.64,0.54,-9.77,3.17,-12.94,L
0.152,255,0,255,255,255,-6.21,6.90,2.90,0.05,-0.17,0.21,-9.45,2.58,1.28,0.04,0.03,0.31,-9.60,0.68,-1.18,-0.13,-0.11,0.22,-9.25,1.50,1.93,0.03,-0.09,0.19,-9.28,1.02,2.49,-0.02,-0.00,0.13,-0.51,0.73,0.57,-4.52,8.61,-10.99,L
0.203,255,0,255,255,255,-6.50,6.97,2.73,0.09,0.18,0.08,-9.34,2.31,1.22,-0.30,0.08,-0.12,-9.48,0.60,-1.22,-0.19,0.23,-0.11,-9.25,0.84,2.35,-0.26,0.29,-0.04,-9.06,0.45,2.90,-0.05,0.36,0.04,-0.57,0.64,0.53,12.88,4.03,-0.67,L
0.254,255,0,255,255,255,-6.06,6.61,2.69,0.83,0.35,0.60,-8.18,2.10,0.98,0.15,0.49,-0.04,-8.52,0.90,-0.94,-0.34,0.50,0.17,-8.37,1.55,1.80,0.13,0.72,0.48,-8.50,0.98,2.40,0.32,0.66,0.68,-0.48,0.63,0.53,35.16,34.00,-20.75,L
0.306,255,0,255,255,255,-5.67,7.09,1.57,1.09,0.41,0.70,-9.36,1.93,0.30,0.46,0.70,-0.03,-10.21,0.78,-1.84,0.09,0.52,0.38,-10.39,1.22,1.39,0.20,0.62,0.22,-10.02,1.02,1.35,0.17,0.72,0.20,-0.44,0.64,0.60,26.18,25.76,-16.91,L
0.356,255,0,255,255,255,-6.53,6.67,1.55,0.18,-0.03,0.55,-8.78,2.85,0.76,-0.13,0.84,-0.46,-8.86,0.81,-1.45,-0.30,1.09,0.06,-8.60,1.56,1.51,-0.09,0.95,0.20,-8.67,1.44,1.74,0.30,0.87,0.47,-0.44,0.62,0.61,28.87,30.76,-26.98,L
0.407,255,0,255,255,255,-4.26,7.13,1.70,1.45,0.64,0.85,-8.85,2.04,0.03,0.83,0.72,-0.17,-9.32,2.26,-1.63,0.24,0.61,0.36,-9.48,2.26,1.01,0.50,0.87,0.36,-9.73,1.38,1.14,0.58,0.76,0.54,-0.37,0.66,0.68,16.97,45.23,-33.33,L
0.459,255,0,255,255,255,-4.67,10.61,-1.35,2.21,1.53,0.78,-11.42,2.18,-0.45,0.58,-0.57,0.26,-11.39,2.35,-2.28,0.67,-0.35,0.82,-11.16,2.79,-0.12,-0.80,0.39,-0.30,-10.93,2.93,-0.35,-0.10,1.08,-0.21,-0.37,0.66,0.70,25.09,11.17,-13.00,L
0.509,255,0,255,255,255,-5.00,9.17,0.50,-0.13,0.24,0.51,-9.44,2.75,-0.61,-0.22,0.15,-0.41,-8.93,1.93,-2.21,-0.28,-0.11,0.18,-9.22,2.26,0.41,0.16,1.07,0.20,-9.60,2.40,1.76,0.37,0.85,0.58,-0.35,0.60,0.70,17.76,24.66,-18.25,L
0.561,255,0,255,255,255,-4.10,8.88,0.42,0.53,0.48,0.93,-9.03,2.59,-0.93,0.57,0.16,0.32,-9.16,2.76,-2.29,-0.19,-0.13,0.61,-9.96,3.47,0.56,0.44,0.82,0.62,-9.64,2.97,-0.13,0.03,0.45,0.74,-0.29,0.65,0.72,-1.95,34.73,-26.55,L
