Timestamp,Thumb Flex,Pointer Flex,Middle Flex,Ring Flex,Pinky Flex,Thumb Acc. X,Thumb Acc. Y,Thumb Acc. Z,Thumb Gyro X,Thumb Gyro Y,Thumb Gyro Z,Pointer Acc. X,Pointer Acc. Y,Pointer Acc. Z,Pointer Gyro X,Pointer Gyro Y,Pointer Gyro Z,Middle Acc. X,Middle Acc. Y,Middle Acc. Z,Middle Gyro X,Middle Gyro Y,Middle Gyro Z,Ring Acc. X,Ring Acc. Y,Ring Acc. Z,Ring Gyro X,Ring Gyro Y,Ring Gyro Z,Pinky Acc. X,Pinky Acc. Y,Pinky Acc. Z,Pinky Gyro X,Pinky Gyro Y,Pinky Gyro Z,Wrist Gyro X,Wrist Gyro Y,Wrist Gyro Z,Wrist Acc. X,Wrist Acc. Y,Wrist Acc. Z,Hand
0.051,77,199,220,255,152,-2.39,-2.77,9.38,0.02,-0.01,-0.03,-5.06,0.16,8.85,-0.01,0.04,-0.04,-5.30,3.43,7.31,-0.03,-0.02,-0.02,-3.05,3.84,8.70,0.01,0.02,-0.03,-1.07,7.16,6.83,-0.00,-0.04,-0.03,0.40,0.18,0.91,-0.43,0.49,-0.73,R
0.102,79,201,220,255,153,-2.20,-2.85,9.41,0.01,-0.01,-0.01,-5.13,-0.10,9.09,-0.04,0.01,0.02,-6.00,3.47,8.30,0.01,-0.10,0.02,-3.43,3.60,9.19,0.02,-0.07,-0.02,-1.30,7.27,7.60,0.05,-0.02,-0.04,0.40,0.18,0.92,0.55,0.18,-0.92,R
0.153,78,200,220,255,153,-2.30,-2.96,9.42,0.03,-0.02,-0.03,-4.48,0.24,8.71,-0.16,-0.44,-0.09,-5.59,3.30,7.93,-0.05,-0.24,-0.02,-2.95,3.58,8.46,0.03,-0.08,-0.05,-1.12,6.83,6.82,0.03,-0.08,-0.02,0.40,0.18,0.90,-0.31,2.32,-1.40,R
0.204,76,199,219,255,152,-2.23,-2.66,9.27,0.01,0.01,-0.00,-3.94,0.23,8.64,-0.11,-0.45,-0.04,-5.23,3.68,7.76,-0.12,-0.18,-0.04,-3.05,3.75,8.67,-0.05,0.01,-0.07,-1.05,7.12,6.91,-0.00,-0.01,-0.04,0.40,0.18,0.91,0.12,0.12,-1.10,R
0.255,75,195,219,255,151,-2.26,-2.83,9.41,0.01,-0.00,-0.01,-4.41,-0.13,8.48,-0.22,-0.78,0.06,-5.23,3.36,7.22,-0.10,-0.54,-0.04,-2.87,3.61,8.35,-0.06,-0.08,-0.04,-0.98,6.72,6.86,-0.01,-0.03,-0.05,0.40,0.18,0.91,0.12,0.24,-0.79,R
0.305,75,190,219,255,151,-2.35,-2.49,9.23,0.04,-0.00,0.02,-3.34,0.16,8.96,-0.08,-0.69,0.10,-4.97,3.25,8.33,0.09,-0.42,0.00,-3.25,4.12,9.06,0.06,-0.02,-0.02,-1.31,7.41,7.39,-0.01,-0.01,-0.06,0.41,0.18,0.91,2.81,0.55,-0.73,R
0.356,75,185,218,255,151,-2.35,-2.67,9.45,-0.03,0.00,-0.00,-3.61,-0.25,9.48,-0.07,-0.72,0.03,-4.48,3.37,7.80,-0.14,-0.26,-0.01,-2.68,3.33,8.28,-0.02,0.03,-0.04,-1.00,6.71,6.91,0.02,0.01,-0.02,0.39,0.18,0.91,0.85,0.49,-0.55,R
0.408,75,179,218,255,152,-2.47,-2.61,9.59,0.05,-0.02,0.05,-3.45,-0.40,10.27,-0.11,-0.81,0.09,-4.65,3.58,8.35,-0.08,-0.40,-0.03,-3.01,3.77,8.71,-0.04,-0.02,-0.02,-1.16,7.13,6.99,0.01,0.00,-0.03,0.41,0.17,0.91,2.08,1.65,-0.61,R
0.458,75,173,218,255,151,-2.00,-2.85,9.17,-0.03,-0.09,0.02,-2.64,-0.38,9.00,-0.13,-0.74,0.12,-4.14,3.09,7.63,-0.11,-0.37,0.02,-2.77,3.42,8.39,-0.06,-0.05,-0.03,-0.95,6.61,6.76,-0.04,-0.02,-0.02,0.40,0.17,0.91,-0.85,-1.65,-0.06,R
0.511,75,169,218,255,151,-2.22,-2.83,9.39,0.01,-0.02,0.05,-2.18,-0.47,9.61,-0.04,-0.52,0.12,-4.47,3.12,8.37,-0.03,-0.16,-0.01,-3.12,3.69,9.07,0.01,-0.01,-0.06,-1.21,7.25,7.30,0.02,-0.02,-0.07,0.41,0.17,0.91,2.93,1.40,-2.20,R
0.56,75,163,216,255,151,-2.49,-2.51,9.63,-0.01,-0.05,0.05,-2.44,0.17,9.97,-0.05,-0.62,0.13,-4.07,3.57,8.38,-0.09,-0.59,0.06,-3.02,3.75,8.73,-0.02,-0.04,0.02,-1.16,7.11,7.10,-0.01,-0.02,0.03,0.41,0.16,0.91,0.43,0.24,0.92,R
0.612,75,158,215,255,151,-1.90,-2.99,9.11,-0.01,-0.02,0.00,-1.44,-1.17,9.11,-0.01,-0.04,0.02,-3.75,1.92,8.16,0.03,-0.35,0.07,-2.83,3.36,8.59,0.05,-0.02,-0.06,-1.11,7.07,7.06,-0.04,-0.01,-0.13,0.41,0.19,0.90,2.38,-0.12,-2.14,R
0.665,75,158,214,255,151,-2.45,-2.61,9.71,0.04,0.01,0.04,-2.30,-0.03,10.31,0.03,-0.12,0.04,-4.63,3.66,9.51,-0.02,-0.14,0.02,-3.51,3.85,9.34,0.04,-0.02,0.02,-1.41,7.56,7.50,0.06,0.00,0.00,0.41,0.16,0.91,2.26,1.71,-0.92,R
0.714,72,156,214,255,151,-2.17,-2.68,9.18,-0.03,-0.06,-0.02,-1.36,-0.41,8.92,-0.07,-0.13,0.06,-3.19,3.01,7.92,-0.10,-0.03,0.03,-2.37,3.22,8.13,-0.01,0.06,-0.00,-0.92,6.40,6.87,0.01,0.06,-0.03,0.40,0.19,0.90,-0.43,-0.98,1.04,R
0.764,72,154,214,255,151,-2.01,-2.91,9.32,0.02,0.10,0.02,-1.78,-0.77,10.00,0.04,0.13,-0.02,-4.36,2.92,9.47,0.01,-0.03,-0.04,-3.51,3.73,9.42,0.11,0.05,-0.09,-1.46,7.48,7.66,0.09,-0.01,-0.05,0.40,0.16,0.92,3.23,0.12,-2.87,R
0.815,73,155,214,255,150,-2.38,-2.75,9.50,0.01,-0.00,-0.01,-1.75,0.04,9.56,0.08,0.01,-0.02,-3.24,3.39,7.08,0.00,0.12,0.00,-2.63,3.75,7.92,0.07,0.13,0.03,-1.00,6.87,6.79,0.07,0.05,0.02,0.41,0.18,0.90,-0.98,1.28,0.73,R
0.866,73,155,215,255,151,-1.79,-2.99,8.87,0.06,0.27,-0.11,-2.39,-0.54,10.64,0.18,1.05,-0.07,-4.84,2.73,9.66,0.10,1.78,-0.19,-3.44,3.62,9.32,0.30,0.16,-0.08,-1.19,7.33,7.28,0.15,-0.01,-0.08,0.41,0.17,0.92,2.99,-0.12,-2.01,R
0.917,78,167,219,255,150,-2.72,-2.68,9.67,0.10,0.14,-0.07,-2.84,-0.37,9.87,0.42,0.82,-0.13,-4.99,3.30,8.05,0.14,0.65,-0.03,-2.82,3.83,7.94,0.22,0.01,0.04,-1.12,7.41,6.74,0.17,0.01,0.01,0.41,0.15,0.91,0.12,2.99,-0.79,R
0.968,81,184,220,255,151,-2.12,-3.49,8.83,0.24,0.43,-0.27,-2.15,1.73,8.39,0.07,1.65,0.24,-4.19,3.68,7.16,-0.11,0.39,-0.01,-2.97,3.71,8.34,0.02,0.11,-0.03,-0.92,7.19,6.30,-0.01,0.03,-0.10,0.43,0.18,0.90,0.06,2.38,-1.65,R
1.019,88,192,221,255,149,-2.96,-2.62,9.84,0.06,0.28,-0.15,-4.33,-0.75,9.52,-0.04,1.25,0.51,-5.58,3.37,8.36,-0.08,-0.05,0.13,-3.09,3.86,8.41,0.02,-0.00,0.08,-1.05,7.02,6.85,0.02,-0.01,0.04,0.39,0.16,0.92,-0.85,-2.01,0.98,R
1.07,90,200,222,255,151,-2.15,-3.41,8.44,0.14,0.35,-0.23,-2.72,-0.45,8.15,0.08,1.48,-0.08,-4.75,3.34,7.05,-0.20,2.02,-0.06,-3.30,3.74,8.74,0.19,0.47,-0.02,-0.97,7.16,7.00,0.09,0.09,-0.10,0.41,0.18,0.90,0.37,3.36,-2.69,R
1.121,97,205,226,255,149,-2.44,-2.34,9.76,0.07,0.35,-0.20,-5.12,0.49,9.31,0.07,0.92,-0.01,-6.15,3.30,7.73,-0.05,0.72,-0.00,-3.60,4.07,8.64,0.03,0.12,0.03,-1.20,7.20,7.01,0.01,-0.01,0.01,0.41,0.16,0.91,-0.67,-0.18,0.12,R
1.172,100,209,228,255,151,-2.52,-3.58,8.53,0.32,0.58,-0.32,-4.91,0.35,7.38,-0.31,1.87,0.47,-5.02,2.77,6.24,0.09,2.04,0.04,-3.33,2.93,8.53,0.27,0.17,-0.08,-0.90,5.78,6.45,0.12,-0.05,-0.20,0.42,0.18,0.91,1.22,1.77,-1.10,R
1.224,120,223,230,255,151,-3.75,-1.64,9.75,0.39,1.03,-0.36,-7.03,-0.97,9.11,-0.25,2.19,0.44,-6.70,2.72,6.57,0.45,1.87,0.18,-3.28,5.32,8.00,0.90,0.19,-0.35,-1.30,8.66,6.75,0.59,-0.06,-0.82,0.40,0.17,0.92,3.30,4.52,-4.39,R
1.274,131,228,234,255,150,-2.75,-3.71,7.59,0.34,1.01,-0.29,-6.27,-0.02,5.88,0.30,2.17,0.10,-6.13,3.88,3.84,0.55,1.61,0.07,-3.24,4.98,7.09,0.40,0.35,-0.14,-1.24,7.61,6.08,0.15,-0.08,-0.20,0.44,0.16,0.90,1.46,1.71,-4.39,R
1.326,149,234,236,255,150,-4.43,-2.29,9.14,0.50,1.37,-0.33,-6.85,2.51,6.26,-0.01,1.83,0.29,-7.99,4.75,4.41,0.44,1.83,0.27,-4.77,5.37,8.72,0.22,0.98,0.13,-1.99,8.17,7.44,0.06,-0.03,0.11,0.43,0.15,0.91,-1.22,5.07,0.79,R
1.377,166,236,238,255,150,-4.93,-1.20,8.39,0.67,1.22,-0.59,-6.79,-0.32,4.25,-0.27,1.56,0.08,-6.89,2.17,2.47,0.06,1.56,0.19,-3.30,3.84,5.71,0.13,1.83,0.10,-0.67,6.94,4.89,0.17,0.67,0.01,0.41,0.19,0.90,-2.62,-0.55,1.65,R
1.427,182,239,240,255,153,-6.35,-1.69,9.58,0.55,1.30,-0.31,-10.26,-0.03,6.14,0.29,1.18,0.13,-10.63,4.45,4.93,0.21,1.51,0.17,-6.40,4.56,8.54,0.12,1.21,0.07,-1.84,8.10,6.63,0.25,0.52,0.05,0.44,0.14,0.91,-0.85,5.43,-0.55,R
1.478,197,241,241,254,161,-5.34,-2.29,7.42,0.83,1.41,-0.32,-6.76,0.93,3.44,0.25,1.90,0.02,-7.38,3.27,1.27,-0.03,1.58,0.10,-4.79,4.94,4.39,0.14,1.88,0.14,-1.56,7.41,5.00,0.23,1.23,0.07,0.43,0.17,0.88,-4.33,7.87,0.00,R
1.529,211,244,244,255,170,-7.02,-1.07,8.58,0.88,1.03,-0.02,-10.56,0.51,4.26,-0.01,1.41,0.07,-8.49,4.21,2.00,-0.00,1.32,0.03,-5.75,5.41,7.07,-0.11,1.44,0.07,-1.93,7.85,6.35,0.05,0.64,0.26,0.42,0.18,0.91,-1.89,8.67,0.98,R
1.581,221,245,245,255,175,-7.12,-1.40,7.39,0.92,0.77,0.04,-9.20,0.53,2.70,0.07,1.45,0.18,-8.25,4.17,0.58,-0.00,1.41,0.11,-5.41,4.61,5.33,0.10,1.27,0.14,-1.92,6.81,5.89,0.14,0.24,0.10,0.46,0.17,0.89,-4.46,15.62,-2.99,R
1.631,227,247,245,255,175,-7.57,-0.82,8.03,0.99,0.51,0.41,-11.03,0.81,3.15,0.03,1.43,0.13,-10.42,4.72,1.72,0.15,1.92,0.05,-7.49,5.72,6.38,0.26,1.28,0.30,-2.05,8.07,5.46,0.20,0.24,0.16,0.46,0.17,0.90,-6.23,16.17,-0.31,R
1.683,233,246,246,255,177,-6.94,-0.24,7.67,0.78,0.09,0.31,-9.75,0.59,2.15,0.28,0.91,0.37,-8.19,4.35,-0.27,0.06,1.08,0.17,-6.37,4.95,4.54,0.39,1.03,0.26,-1.97,7.86,5.33,0.43,0.28,0.19,0.45,0.18,0.88,-8.48,22.58,-0.98,R
1.734,233,247,247,255,178,-7.18,1.26,7.07,0.81,-0.24,0.51,-10.91,1.65,1.84,0.11,0.49,0.47,-9.96,4.96,-0.01,-0.00,0.80,0.37,-6.96,6.00,4.06,0.23,0.53,0.42,-2.23,8.94,4.64,0.43,0.21,0.26,0.55,0.17,0.88,-6.65,30.15,-2.26,R
1.785,233,248,246,255,178,-7.82,1.34,8.23,0.46,-0.88,0.81,-11.04,1.60,1.75,-0.07,-0.54,0.72,-9.51,5.48,-0.76,-0.25,0.38,0.77,-6.88,6.07,3.95,0.31,0.64,0.91,-1.83,8.03,3.56,0.99,0.52,0.66,0.56,0.18,0.83,-14.95,49.93,4.46,R
1.835,224,245,246,255,182,-6.80,1.82,7.28,0.71,-0.05,1.17,-8.31,3.53,1.40,0.01,-0.45,1.66,-7.33,6.88,-1.38,-0.31,0.80,1.50,-6.45,8.19,3.70,0.65,0.96,1.55,-1.46,10.42,3.77,1.54,0.97,0.80,0.71,0.21,0.75,4.82,96.01,3.30,R
1.886,222,246,246,255,182,-6.08,3.09,7.92,0.83,-0.09,1.60,-9.49,3.71,3.13,-0.28,-0.66,1.77,-7.92,6.81,-0.52,-0.57,0.42,1.61,-6.32,7.58,3.82,0.49,0.57,1.61,-1.19,10.07,3.32,1.46,0.65,0.83,0.74,0.24,0.73,10.01,98.39,12.33,R
1.937,218,243,245,255,183,-6.61,3.66,7.92,0.84,0.40,1.46,-8.73,4.16,2.73,-0.19,-0.04,1.86,-7.24,6.96,-1.34,-0.58,0.81,1.66,-5.70,8.30,2.67,0.53,1.00,1.70,-1.32,10.42,2.40,1.61,1.23,0.77,0.73,0.22,0.69,23.62,104.00,12.57,R
1.988,217,242,245,255,185,-6.73,3.46,7.88,0.75,-0.01,2.05,-8.87,4.05,2.37,-0.54,-0.54,2.10,-6.94,7.14,-1.31,-0.82,0.54,1.88,-5.47,7.82,2.47,0.37,0.82,1.97,-2.37,10.08,3.12,1.61,1.47,1.01,0.80,0.18,0.65,14.53,118.29,22.71,R
2.039,212,241,244,255,186,-4.57,4.21,6.39,0.50,0.26,1.69,-7.29,4.34,2.99,-0.45,-0.25,1.86,-5.47,7.43,-0.81,-0.65,0.77,1.60,-4.08,7.78,1.80,0.46,0.97,1.72,-0.21,8.40,0.25,1.63,1.19,0.88,0.77,0.20,0.51,25.63,103.64,14.28,R
2.091,209,241,243,255,186,-5.02,4.42,6.60,0.87,0.08,2.25,-7.47,4.96,2.91,-0.49,-0.43,2.45,-5.20,7.48,-1.17,-0.81,0.82,2.17,-3.86,8.46,1.59,0.58,1.02,2.14,-0.97,9.93,0.74,1.80,1.16,1.08,0.87,0.18,0.46,27.28,136.17,16.24,R
2.143,208,241,244,255,186,-3.92,5.39,6.27,0.81,0.45,1.73,-6.29,6.18,3.51,-0.33,0.15,2.03,-4.02,8.52,-0.96,-0.53,1.11,1.68,-2.08,9.34,1.17,0.46,1.11,1.80,0.52,9.42,-0.85,1.64,1.21,0.92,0.85,0.23,0.34,29.91,108.28,11.66,R
